Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
22/7/2008,18:04:00,0.150,0.000,240.730,0.600,0.000,0.000,1.0
22/7/2008,18:05:00,0.166,0.000,240.500,0.800,0.000,0.000,0.0
22/7/2008,18:06:00,0.298,0.148,239.800,1.400,0.000,0.000,1.0
22/7/2008,18:07:00,0.336,0.220,239.950,1.600,0.000,0.000,1.0
22/7/2008,18:08:00,0.332,0.222,240.190,1.600,0.000,0.000,0.0
22/7/2008,18:09:00,0.330,0.220,239.830,1.600,0.000,0.000,1.0
22/7/2008,18:10:00,0.326,0.220,239.450,1.600,0.000,0.000,1.0
22/7/2008,18:11:00,0.324,0.220,239.880,1.600,0.000,0.000,0.0
22/7/2008,18:12:00,0.322,0.224,240.580,1.600,0.000,0.000,1.0
22/7/2008,18:13:00,0.320,0.222,240.120,1.600,0.000,0.000,1.0
22/7/2008,18:14:00,0.318,0.224,240.540,1.600,0.000,0.000,0.0
22/7/2008,18:15:00,0.318,0.224,240.520,1.600,0.000,0.000,1.0
22/7/2008,18:16:00,0.316,0.222,240.340,1.600,0.000,0.000,1.0
22/7/2008,18:17:00,0.506,0.258,240.200,2.600,0.000,0.000,3.0
22/7/2008,18:18:00,0.878,0.228,239.600,3.800,0.000,0.000,11.0
22/7/2008,18:19:00,0.902,0.222,239.340,3.800,0.000,0.000,12.0
22/7/2008,18:20:00,0.930,0.224,239.610,4.000,0.000,0.000,12.0
22/7/2008,18:21:00,0.886,0.216,239.630,3.800,0.000,0.000,12.0
22/7/2008,18:22:00,0.246,0.122,240.430,1.000,0.000,0.000,0.0
22/7/2008,18:23:00,0.246,0.122,240.640,1.000,0.000,0.000,1.0
22/7/2008,18:24:00,0.186,0.000,241.470,0.800,0.000,0.000,1.0
22/7/2008,18:25:00,0.152,0.000,241.650,0.600,0.000,0.000,0.0
22/7/2008,18:26:00,0.152,0.000,242.260,0.600,0.000,0.000,1.0
22/7/2008,18:27:00,0.152,0.000,242.300,0.600,0.000,0.000,1.0
22/7/2008,18:28:00,0.152,0.000,242.340,0.600,0.000,0.000,0.0
22/7/2008,18:29:00,0.152,0.000,242.300,0.600,0.000,0.000,1.0
22/7/2008,18:30:00,0.152,0.000,242.110,0.600,0.000,0.000,1.0
22/7/2008,18:31:00,0.152,0.000,241.960,0.600,0.000,0.000,0.0
22/7/2008,18:32:00,0.152,0.000,242.070,0.600,0.000,0.000,1.0
22/7/2008,18:33:00,0.152,0.000,241.670,0.600,0.000,0.000,1.0
22/7/2008,18:34:00,0.152,0.000,241.660,0.600,0.000,0.000,0.0
22/7/2008,18:35:00,0.152,0.000,242.580,0.600,0.000,0.000,1.0
22/7/2008,18:36:00,0.152,0.000,241.830,0.600,0.000,0.000,1.0
22/7/2008,18:37:00,0.150,0.000,241.000,0.600,0.000,0.000,0.0
22/7/2008,18:38:00,0.150,0.000,240.950,0.600,0.000,0.000,1.0
22/7/2008,18:39:00,0.152,0.000,241.550,0.600,0.000,0.000,1.0
22/7/2008,18:40:00,0.152,0.000,241.500,0.600,0.000,0.000,0.0
22/7/2008,18:41:00,0.152,0.000,241.350,0.600,0.000,0.000,1.0
22/7/2008,18:42:00,0.152,0.000,241.180,0.600,0.000,0.000,1.0
22/7/2008,18:43:00,0.150,0.000,240.830,0.600,0.000,0.000,0.0
22/7/2008,18:44:00,0.170,0.000,240.340,1.000,0.000,0.000,1.0
22/7/2008,18:45:00,0.278,0.136,240.260,1.400,0.000,0.000,1.0
22/7/2008,18:46:00,0.316,0.210,240.170,1.600,0.000,2.000,0.0
22/7/2008,18:47:00,0.316,0.214,240.890,1.600,0.000,1.000,1.0
22/7/2008,18:48:00,0.408,0.312,241.150,2.200,0.000,2.000,1.0
22/7/2008,18:49:00,0.424,0.350,241.500,2.200,0.000,1.000,0.0
22/7/2008,18:50:00,0.418,0.350,241.390,2.200,0.000,1.000,1.0
22/7/2008,18:51:00,0.414,0.348,241.110,2.200,0.000,2.000,1.0
22/7/2008,18:52:00,0.410,0.344,240.330,2.200,0.000,1.000,0.0
22/7/2008,18:53:00,0.408,0.344,240.480,2.200,0.000,2.000,1.0
22/7/2008,18:54:00,0.404,0.346,240.540,2.200,0.000,1.000,1.0
22/7/2008,18:55:00,0.404,0.348,241.120,2.200,0.000,2.000,0.0
22/7/2008,18:56:00,0.396,0.342,241.360,2.200,0.000,1.000,1.0
22/7/2008,18:57:00,0.332,0.248,241.950,1.600,0.000,1.000,1.0
22/7/2008,18:58:00,0.332,0.250,242.250,1.600,0.000,2.000,0.0
22/7/2008,18:59:00,0.330,0.250,242.250,1.600,0.000,1.000,1.0
22/7/2008,19:00:00,0.418,0.272,242.020,2.200,0.000,1.000,1.0
22/7/2008,19:01:00,0.334,0.250,241.690,1.600,0.000,2.000,0.0
22/7/2008,19:02:00,0.324,0.246,241.360,1.600,0.000,1.000,1.0
22/7/2008,19:03:00,0.324,0.246,241.350,1.600,0.000,1.000,1.0
22/7/2008,19:04:00,0.322,0.246,241.310,1.600,0.000,1.000,0.0
22/7/2008,19:05:00,0.250,0.130,241.350,1.200,0.000,1.000,1.0
22/7/2008,19:06:00,0.222,0.090,241.680,1.000,0.000,0.000,1.0
22/7/2008,19:07:00,0.152,0.000,241.640,0.600,0.000,0.000,0.0
22/7/2008,19:08:00,0.152,0.000,241.460,0.600,0.000,0.000,1.0
22/7/2008,19:09:00,0.152,0.000,241.310,0.600,0.000,0.000,1.0
22/7/2008,19:10:00,0.712,0.122,241.060,4.600,0.000,0.000,0.0
